character,state,probability
c0,-1,0.111111111111111
c0,1,0.0555555555555556
c0,2,0.111111111111111
c0,3,0.722222222222222
c1,-1,0.444444444444444
c1,1,0.333333333333333
c1,2,0.166666666666667
c1,3,0.0555555555555556
c2,-1,0.388888888888889
c2,1,0.166666666666667
c2,3,0.444444444444444
c3,-1,0.388888888888889
c3,1,0.166666666666667
c3,2,0.111111111111111
c3,3,0.333333333333333
c4,-1,0.166666666666667
c4,1,0.666666666666667
c4,2,0.0555555555555556
c4,3,0.111111111111111
c5,-1,0.166666666666667
c5,1,0.722222222222222
c5,2,0.0555555555555556
c5,3,0.0555555555555556
c6,-1,0.666666666666667
c6,1,0.166666666666667
c6,2,0.0555555555555556
c6,3,0.111111111111111
c7,-1,0.222222222222222
c7,1,0.611111111111111
c7,3,0.111111111111111
c7,4,0.0555555555555556
c8,-1,0.277777777777778
c8,1,0.444444444444444
c8,2,0.0555555555555556
c8,3,0.222222222222222
c9,-1,0.0555555555555556
c9,1,0.666666666666667
c9,3,0.277777777777778
c10,-1,0.277777777777778
c10,1,0.388888888888889
c10,3,0.111111111111111
c10,4,0.222222222222222
c11,-1,0.111111111111111
c11,1,0.611111111111111
c11,2,0.0555555555555556
c11,3,0.222222222222222
c12,-1,0.277777777777778
c12,1,0.666666666666667
c12,3,0.0555555555555556
c13,-1,0.333333333333333
c13,1,0.222222222222222
c13,2,0.0555555555555556
c13,3,0.222222222222222
c13,4,0.166666666666667
c14,-1,0.222222222222222
c14,1,0.5
c14,3,0.277777777777778
c15,-1,0.0555555555555556
c15,1,0.777777777777778
c15,2,0.0555555555555556
c15,3,0.111111111111111
c16,-1,0.388888888888889
c16,1,0.5
c16,3,0.111111111111111
c17,-1,0.333333333333333
c17,1,0.222222222222222
c17,2,0.0555555555555556
c17,3,0.388888888888889
c18,-1,0.0555555555555556
c18,1,0.833333333333333
c18,2,0.0555555555555556
c18,3,0.0555555555555556
c19,-1,0.666666666666667
c19,1,0.222222222222222
c19,2,0.0555555555555556
c19,3,0.0555555555555556
c20,-1,0.166666666666667
c20,1,0.277777777777778
c20,2,0.111111111111111
c20,3,0.444444444444444
c21,-1,0.166666666666667
c21,1,0.277777777777778
c21,2,0.0555555555555556
c21,3,0.5
c22,-1,0.222222222222222
c22,1,0.222222222222222
c22,2,0.0555555555555556
c22,3,0.444444444444444
c22,4,0.0555555555555556
c23,-1,0.111111111111111
c23,2,0.0555555555555556
c23,3,0.833333333333333
c24,-1,0.222222222222222
c24,1,0.333333333333333
c24,3,0.444444444444444
c25,-1,0.277777777777778
c25,2,0.0555555555555556
c25,3,0.666666666666667
c26,-1,0.277777777777778
c26,1,0.388888888888889
c26,2,0.0555555555555556
c26,3,0.277777777777778
c27,-1,0.444444444444444
c27,1,0.277777777777778
c27,3,0.277777777777778
c28,-1,0.222222222222222
c28,1,0.277777777777778
c28,2,0.0555555555555556
c28,3,0.333333333333333
c28,4,0.111111111111111
c29,-1,0.111111111111111
c29,1,0.722222222222222
c29,3,0.166666666666667
c30,-1,0.333333333333333
c30,1,0.5
c30,3,0.166666666666667
c31,-1,0.277777777777778
c31,1,0.5
c31,3,0.222222222222222
c32,-1,0.333333333333333
c32,1,0.388888888888889
c32,2,0.222222222222222
c32,3,0.0555555555555556
c33,-1,0.166666666666667
c33,1,0.277777777777778
c33,2,0.0555555555555556
c33,3,0.444444444444444
c33,4,0.0555555555555556
c34,-1,0.111111111111111
c34,1,0.722222222222222
c34,3,0.166666666666667
c35,-1,0.333333333333333
c35,1,0.611111111111111
c35,3,0.0555555555555556
c36,-1,0.5
c36,1,0.388888888888889
c36,3,0.111111111111111
c37,-1,0.333333333333333
c37,2,0.0555555555555556
c37,3,0.611111111111111
c38,-1,0.388888888888889
c38,1,0.277777777777778
c38,2,0.0555555555555556
c38,3,0.277777777777778
c39,-1,0.444444444444444
c39,1,0.0555555555555556
c39,2,0.0555555555555556
c39,3,0.444444444444444
c40,-1,0.0555555555555556
c40,1,0.666666666666667
c40,2,0.166666666666667
c40,3,0.111111111111111
c41,-1,0.388888888888889
c41,1,0.444444444444444
c41,2,0.111111111111111
c41,3,0.0555555555555556
c42,-1,0.388888888888889
c42,1,0.111111111111111
c42,2,0.0555555555555556
c42,3,0.444444444444444
c43,-1,0.555555555555556
c43,1,0.222222222222222
c43,2,0.111111111111111
c43,3,0.0555555555555556
c43,4,0.0555555555555556
c44,-1,0.333333333333333
c44,1,0.0555555555555556
c44,2,0.111111111111111
c44,3,0.5
c45,-1,0.388888888888889
c45,1,0.333333333333333
c45,2,0.0555555555555556
c45,3,0.222222222222222
c46,-1,0.333333333333333
c46,3,0.666666666666667
c47,-1,0.0555555555555556
c47,1,0.555555555555556
c47,2,0.111111111111111
c47,3,0.277777777777778
c48,-1,0.555555555555556
c48,1,0.277777777777778
c48,2,0.111111111111111
c48,3,0.0555555555555556
c49,-1,0.277777777777778
c49,1,0.722222222222222
c50,-1,0.277777777777778
c50,1,0.5
c50,2,0.0555555555555556
c50,3,0.166666666666667
c51,-1,0.444444444444444
c51,1,0.388888888888889
c51,2,0.166666666666667
c52,-1,0.388888888888889
c52,1,0.444444444444444
c52,3,0.166666666666667
c53,-1,0.388888888888889
c53,1,0.611111111111111
c54,-1,0.277777777777778
c54,1,0.0555555555555556
c54,3,0.666666666666667
c55,-1,0.333333333333333
c55,1,0.444444444444444
